inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_id
HRNLUBSXIHFDHP-UHFFFAOYSA-N	unsuitables/mocetinostat	2017-04-11	No	Yes	244348	0	0	0		1113
INVTYAOGFAGBOE-UHFFFAOYSA-N	unsuitables/entinostat	2017-04-11	No	Yes	1888264	0	0	0		1114
DEZFNHCVIZBHBI-ZHACJKMWSA-N	unsuitables/rottlerin	2017-06-27	No	No	754171	0	0	0		1115
URWCXPXBBITYLR-UHFFFAOYSA-N	unsuitables/th287	2017-07-08	No	No	1061093	0	0	0		1116
PVRYEWOXWGDQHA-URLMMPGGSA-N	unsuitables/nutlin-2	2017-06-02	No	No	847292	0	0	0		1117
UNXQGBMZYKHQCO-NVHWNKAKSA-N	unsuitables/mi-219	2017-06-02	No	No	724668	0	0	0		1118
RLUGRMMSGGKTPV-UHFFFAOYSA-N	unsuitables/mcl0527-3	2017-06-02	Yes	No	203147	0	0	0		1119
NNGMKDJOKUWNGN-NMMPVGNLSA-N	unsuitables/4-pbha	2017-04-11	No	Yes	1078674	0	0	0		1120
IYDMGGPKSVWQRT-UHFFFAOYSA-N	unsuitables/nutlin-1	2017-06-02	No	No	865782	0	0	0		1121
BDUHCSBCVGXTJM-WUFINQPMSA-N	unsuitables/nutlin-3a	2017-06-02	No	No	813911	0	0	0		1122
QZJRNGXHRQJBJH-UHFFFAOYSA-N	unsuitables/pb12	2017-06-02	No	No	432336	0	0	0		1123
FLEPRYJBTOPZTM-UKILVPOCSA-N	unsuitables/pb11	2017-06-02	No	No	391134	0	0	0		1124
HMKAZNCSHAJLSA-HIJQLYNKSA-N	unsuitables/am-8735	2017-06-06	No	No	777492	0	0	0	https://doi.org/10.1021/jm401767k|https://pubmed.ncbi.nlm.nih.gov/24548297	1125
XZFYSTPLSPZNKJ-UHFFFAOYSA-N	unsuitables/rh02007	2017-06-22	Yes	No	3312902	0	0	0		1126
ZFEXNHYQHDJAGL-UHFFFAOYSA-N	unsuitables/nsc83143	2017-06-22	No	No	3312905	0	0	0		1127
CGLMQIIIQWNAMG-UHFFFAOYSA-N	unsuitables/nsc135098	2017-06-22	No	Yes	3313081	0	0	0		1128
XKTMIJODWOEBKO-UHFFFAOYSA-M	unsuitables/acid green 3	2017-06-22	Yes	Yes	933654	0	0	0		1129
ASUGUQWIHMTFJL-QGZVFWFLSA-N	unsuitables/decernotinib	2017-06-26	No	No	113802	0	0	0		1130
ZHEHVZXPFVXKEY-LYGOBDSISA-N	unsuitables/kt5720	2017-06-27	No	No	3145847	0	0	0		1131
VLULRUCCHYVXOH-UHFFFAOYSA-N	unsuitables/onc201	2017-07-18	No	No	233041	0	0	0		1132
YRRAGUMVDQQZIY-UHFFFAOYSA-N	unsuitables/gossypetin	2017-06-22	Yes	Yes	1401932	0	0	0		1133
VWFIHGWHMXSTAO-UHFFFAOYSA-N	unsuitables/dshs00884	2017-06-22	No	No	1200722	0	0	0		1134
JPOAXWSMFOLMQH-UWWJMHSNSA-N	unsuitables/nsc117907	2017-06-22	No	No	3312910	0	0	0		1135
QKJRDUVFCNBDGG-YKXMQWBGSA-N	unsuitables/nsc216029	2017-06-22	No	Yes	3312907	0	0	0		1136
BGLPECHZZQDNCD-UHFFFAOYSA-N	unsuitables/cerdulatinib	2017-06-26	Yes	No	328588	0	0	0		1137
HWXVIOGONBBTBY-ONEGZZNKSA-N	unsuitables/pacritinib	2017-06-26	No	No	646856	0	0	0		1138
PNMYJIOQIAEYQL-UHFFFAOYSA-N	unsuitables/th588	2017-07-08	No	No	1157610	0	0	0		1139
KTEIFNKAUNYNJU-LBPRGKRZSA-N	unsuitables/s-crizotinib	2017-07-08	No	No	255181	0	0	0		1140
AVZCPICCWKMZDT-UHFFFAOYSA-N	unsuitables/gsk-j1	2017-07-08	No	No	207430	0	0	0		1141
KWUZCAVKPCRJPO-UHFFFAOYSA-N	unsuitables/thio-2	2017-07-08	No	No	3312908	0	0	0		1142
TZALECNALKOBPY-UHFFFAOYSA-N	unsuitables/thioflavin-s	2017-07-08	Yes	No	3313069	0	0	0		1143
RYCBSFIKWACFBY-UHFFFAOYSA-N	unsuitables/frax1036	2017-07-08	No	No	744970	0	0	0		1144
JVDOKQYTTYUYDV-UHFFFAOYSA-N	unsuitables/tg10129	2017-07-08	Yes	No	698084	0	0	0		1145
HHFBDROWDBDFBR-UHFFFAOYSA-N	unsuitables/mln8054	2017-07-08	No	No	575044	0	0	0		1146
ZIMMTPFXOMAJTQ-UHFFFAOYSA-N	unsuitables/apoptozole	2017-07-08	No	No	908308	0	0	0		1147
ZZUZYEMRHCMVTB-UHFFFAOYSA-N	unsuitables/pifithrin-mu	2017-07-08	No	No	8743	0	0	0		1148
HAGVCKULCLQGRF-UHFFFAOYSA-N	unsuitables/pifithrin-alpha	2017-07-08	Yes	No	1244293	0	0	0		1149
IMUKUMUNZJILCG-UHFFFAOYSA-N	unsuitables/pifithrin-beta	2017-07-08	No	No	1118708	0	0	0		1150
MMBSCBVEHMETSA-GDAWTGGTSA-N	unsuitables/mcb-613	2017-07-08	Yes	No	1433969	0	0	0		1151
LUYWAGVRXKSNLL-DEOSSOPVSA-N	unsuitables/k4f	2017-07-08	No	No	528188	0	0	0		1152
FDQXEDMRIBACLZ-UHFFFAOYSA-N	unsuitables/chembl3414768	2017-07-08	No	No	1221513	0	0	0		1153
GNFSYBNDPOBXLJ-PLNGDYQASA-N	unsuitables/chembl2179989	2017-07-08	No	Yes	1054590	0	0	0		1154
HWTVYWVFOWWESR-GFCCVEGCSA-N	unsuitables/chembl3092538	2017-07-08	No	No	1550908	0	0	0		1155
HRYKZAKEAVZGJD-UHFFFAOYSA-N	unsuitables/chembl483348	2017-07-08	No	No	8926	0	0	0		1156
VBHDTUSGPSUCNL-KRWDZBQOSA-N	unsuitables/chembl3092523	2017-07-08	No	No	114471	0	0	0		1157
HWTVYWVFOWWESR-LBPRGKRZSA-N	unsuitables/chembl3092539	2017-07-08	No	No	1550909	0	0	0		1158
NMZRTRAYSHQMPR-UHFFFAOYSA-N	unsuitables/chembl3416132	2017-07-08	No	No	14467	0	0	0		1159
