id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3164	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)			208	nM	binding	SPR				845	acbi2
3165	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)			172	nM	biochemical	TR-FRET using SMARCA2-BD | 172 ± 109 nM				845	acbi2
3166	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)			42	nM	biochemical	TR-FRET of the ternary complex | 42 ± 2 nM				845	acbi2
3167	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)	DC50		1	nM	cell	Protein degradation at 18h treatment | 1 ± 1 nM				845	acbi2
3168	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)	Dmax		81	%	cell	Maximal degradation in cells after 18h treatment | 81 ± 7%				845	acbi2
3169	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)	DC50		13	nM	cell	Protein degradation after 4 h | 13 ± 14 nM				845	acbi2
3170	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)	Dmax		86	%	cell	Maximum degradation after 4h treatment | 86 ± 6%				845	acbi2
3171	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	308	degrader (protac)	EC50		7	nM	cell	Cell proliferation assay (168h) | 7 ± 4 nM				845	acbi2
3172	JBTHUOYYUUPUOZ-LIHPQFRDSA-N	309	degrader (protac)	DC50		32	nM	cell	Protein degradation after 18h				845	acbi2
3173	PTARASCXNREVCH-UHFFFAOYSA-N	400	degrader (protac)	Dmax	~	90	%	cell	DYRK1A degradation assay (24h); hook effect seen at 10 µM; near maximal degradation observed after 8h				846	dyr684
3174	PTARASCXNREVCH-UHFFFAOYSA-N	400	degrader (protac)	DC50		12.3	nM	cell	DYRK1A degradation assay (24h)  shows initial degradation rate of about 0.74 h–1 (t1/2 = 57 min) and a maximal reduction of GFP fluorescence by 98%				846	dyr684
3175	PTARASCXNREVCH-UHFFFAOYSA-N	632	degrader (protac)	Dmax	~	50	%	cell	DYRK1A degradation assay (24h); near maximal degradation observed after 8h				846	dyr684
3176	PTARASCXNREVCH-UHFFFAOYSA-N	632	degrader (protac)	activity		1	uM	cell	GFP level: degraded at rate of 1.16 h–1 (t1/2 = 36 min) but reached a plateau at 86% degradation				846	dyr684
3177	AJQAXIIJKPCAOP-XVNGORCSSA-N	201	degrader (protac)			1	uM	biochemical	cell-free AlphaLISA assay between CRBN and TEAD1				847	hc278
3178	AJQAXIIJKPCAOP-XVNGORCSSA-N	201	degrader (protac)	Dmax		50	%	cell	Protein degradation detected by Western blot				847	hc278
3179	AJQAXIIJKPCAOP-XVNGORCSSA-N	532	degrader (protac)		~	1	uM	biochemical	cell-free AlphaLISA assay between CRBN and TEAD3				847	hc278
3180	PLCITURFVJNAFH-GUQHISFFSA-N	452	inhibitor			10	nM	biochemical	Biochemical assay				848	mrk-990
3181	PLCITURFVJNAFH-GUQHISFFSA-N	452	inhibitor	IC50		145	nM	cell	Inhibition of the methylation of SAP145 (PRMT9) after 2 days of treatment				848	mrk-990
