inchikey	smiles	name
MDOJTZQKHMAPBK-UHFFFAOYSA-N	NC(=O)c1ccc(I)c([N+](=O)[O-])c1	Iniparib
LLEJIEBFSOEYIV-UHFFFAOYSA-N	COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC	Chelerythrine
PBJKWGWHZVXBGU-UHFFFAOYSA-N	Cc1cc2c(C(C)C)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)cc2c1O	Apogossypol
SXJDCULZDFWMJC-UHFFFAOYSA-N	CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC	HA14-1
HYTMVPCGCCQGST-JGUILPGDSA-N	CCOc1ccc2nc3cc(/N=N/c4ccc(N)nc4N)ccc3c(N)c2c1.Cl	BXI-61
PQAPVTKIEGUPRN-UHFFFAOYSA-N	CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O	TW37
WUGANDSUVKXMEC-UHFFFAOYSA-N	O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Br)cc2)c2ccccc2c1O	UMI-77
YPSXFMHXRZAGTG-UHFFFAOYSA-N	COc1ccc(N=O)c(CCc2cc(OC)ccc2N=O)c1	Bcl-2 Inhibitor
ILMNSCQOSGKTNZ-NKWVEPMBSA-N	Nc1ncnc2c1ncn2[C@@H](C=O)O[C@@H](C=O)CO	Adenosine dialdehyde
NAWIFPQLACUTSO-MXGDDHKLSA-N	Nc1ncnc2c1ncn2[C@@H]1O/C(=C\F)[C@@H](O)[C@@H]1O	MDL 28842
MUJOCHRZXRZONW-FOCLMDBBSA-N	COC(=O)/C=C/C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1	Methylstat
AELCINSCMGFISI-DTWKUNHWSA-N	N[C@@H]1C[C@H]1c1ccccc1	Tranylcypromine
ZJZCTCNQTXBBFZ-PLMZOXRSSA-N	C/C(=C(\CCO)SCCC(=O)c1ccc(C)cc1)N(C=O)Cc1cnc(C)nc1N.Cl	MB-3
YGSDEFSMJLZEOE-UHFFFAOYSA-M	O=C([O-])c1ccccc1O	Salicylate
JAXSELKSZJMFSA-UHFFFAOYSA-N	O=C(O)CCC(=O)Nc1ccc(Cc2ccncc2)cc1	APHA
PAWIYAYFNXQGAP-UHFFFAOYSA-N	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	Quisinostat
