chembl_id	inchikey
CHEMBL4516982	KMESAVNRPDKZCQ-UHFFFAOYSA-N
CHEMBL4165749	ZDOBSAPHUUUOHX-OSYLJGHBSA-N
CHEMBL4438797	BTSUNSRQYLVGIS-ADTYUTHVSA-N
CHEMBL1499653	PROGRNRRJJYCNX-UHFFFAOYSA-N
CHEMBL4446378	JQNINBDKGLWYMU-GEAQBIRJSA-N
CHEMBL4455357	VSZRYLHBOKTNBO-UHFFFAOYSA-N
CHEMBL4062453	CGECJCJUHCZZGO-UHFFFAOYSA-N
CHEMBL4173715	OTKTZEZTFCAULO-DEOSSOPVSA-N
CHEMBL4206892	XMNLWOQHMQRHDV-UHFFFAOYSA-N
CHEMBL1651534	BATCTBJIJJEPHM-UHFFFAOYSA-N
CHEMBL109480	AYUNIORJHRXIBJ-TXHRRWQRSA-N
CHEMBL3793424	QCQQONWEDCOTBV-UHFFFAOYSA-N
CHEMBL4536031	BSISGUIVBKDTQO-QIKYYPRYSA-N
CHEMBL4172726	XUYMIRYNRKXKOR-HMHJJOSWSA-N
CHEMBL2142864	XUSDVLHKNBOGJY-UHFFFAOYSA-N
CHEMBL213100	NBTNHSGBRGTFJS-UHFFFAOYSA-N
CHEMBL3907057	MPASHPJAIUOWCK-UHFFFAOYSA-N
CHEMBL2206278	JVCWPUFNLFSKFS-UHFFFAOYSA-N
CHEMBL5303438	FYMVGXGSNIVSKY-NRFANRHFSA-N
CHEMBL3753077	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N
CHEMBL206834	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
CHEMBL3753082	LVDRREOUMKACNJ-BKMJKUGQSA-N
CHEMBL4068896	TXEBNKKOLVBTFK-UHFFFAOYSA-N
CHEMBL4097025	CQCWHSDMJBAGDC-UHFFFAOYSA-N
CHEMBL5184791	VWEDZTZAXHMZIL-UHFFFAOYSA-N
CHEMBL1091644	PKCDDUHJAFVJJB-VLZXCDOPSA-N
CHEMBL4303781	JGQPZPLJOBHHBK-UFXYQILXSA-N
CHEMBL2036730	NGEBYTLALFOQKI-HDJSIYSDSA-N
CHEMBL4452527	JKCSCHXVWPSGBG-OPKPGBGESA-N
CHEMBL3353541	MPMKMQHJHDHPBE-RUZDIDTESA-N
CHEMBL3236357	HNLHOKSDTBAERS-CWIPYCOQSA-N
CHEMBL4862901	LXRZVMYMQHNYJB-UNXOBOICSA-N
CHEMBL2402737	TVTXCJFHQKSQQM-LJQIRTBHSA-N
CHEMBL415049	GBJVVSCPOBPEIT-UHFFFAOYSA-N
CHEMBL1651524	NBOJHRYUGLRASX-UHFFFAOYSA-N
CHEMBL3798846	DJOVLOYCGXNVPI-UHFFFAOYSA-N
CHEMBL4740486	WGJCHHJGGFCCRS-DEYDLUNASA-N
CHEMBL5204174	LUHCYAOYQIFNRN-UHFFFAOYSA-N
CHEMBL2381408	IDKAKZRYYDCJDU-HBMMIIHUSA-N
CHEMBL62136	SGIWFELWJPNFDH-UHFFFAOYSA-N
CHEMBL1852688	QADPYRIHXKWUSV-UHFFFAOYSA-N
CHEMBL2037226	YYDUWLSETXNJJT-MTJSOVHGSA-N
CHEMBL197603	ZMNWFTYYYCSSTF-SOAUALDESA-N
CHEMBL3087499	LXFOLMYKSYSZQS-XKHGBIBOSA-N
CHEMBL3672841	XQFINGFCBFHOPE-WXUXXXNLSA-N
CHEMBL3963965	CGWBJJZOKGZCSJ-UHFFFAOYSA-N
CHEMBL5267184	AIOCFZJGGGEWDK-UHFFFAOYSA-N
CHEMBL4163879	RUBYHLPRZRMTJO-MOVYNIQHSA-N
CHEMBL3747513	RDALZZCKQFLGJP-UHFFFAOYSA-N
CHEMBL2204538	JBHLOPKIPKTRSU-UHFFFAOYSA-N
CHEMBL3646801	AQTPWCUIYUOEMG-INIZCTEOSA-N
CHEMBL4469488	JFGOILLZIAIYGA-UHFFFAOYSA-N
CHEMBL1829173	ZOPNBMMVVZRSGH-NRFANRHFSA-N
CHEMBL203665	BWYBBMQLUKXECQ-GIVPXCGWSA-N
CHEMBL576982	CVWXJKQAOSCOAB-UHFFFAOYSA-N
CHEMBL4282264	VRVJKILQRBSEAG-LFPIHBKWSA-N
CHEMBL3039525	UQRCJCNVNUFYDX-UHFFFAOYSA-N
CHEMBL4076748	LWXLECMNBTVASW-UHFFFAOYSA-N
CHEMBL3545311	AILRADAXUVEEIR-UHFFFAOYSA-N
CHEMBL3545308	HUFOZJXAKZVRNJ-UHFFFAOYSA-N
CHEMBL4852381	ZEGMEJVULDALSH-NSHDSACASA-N
CHEMBL583914	SNCRCEGCQVMUBS-DNVCBOLYSA-N
CHEMBL4802043	FNBUZGRPJLEIMO-UHFFFAOYSA-N
CHEMBL445332	OBSYBRPAKCASQB-AGQYDFLVSA-N
CHEMBL2364618	ORDHXXHTBUZRCN-NTEUORMPSA-N
CHEMBL4205882	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N
CHEMBL2385460	XPLWBHWPOUEOSJ-GSZYCOFVSA-N
CHEMBL4476514	LPCWQWNRCGWRFC-UHFFFAOYSA-N
CHEMBL4297626	JYTIXGYXBIBOMN-UHFFFAOYSA-N
CHEMBL4087666	KLHOCHQJHXNKAS-UHFFFAOYSA-N
CHEMBL4448899	BKLJDIJJOOQUFG-UHFFFAOYSA-N
CHEMBL5275278	FYQFEJFTCLKXTQ-UHFFFAOYSA-N
CHEMBL4522930	IYHHRZBKXXKDDY-UHFFFAOYSA-N
CHEMBL4538849	DYUTWRFEEOPXMN-UHFFFAOYSA-N
CHEMBL4475494	AUYCSWFYKYVCLD-HXUWFJFHSA-N
CHEMBL4297454	OEDSFMUSNZDJFD-UHFFFAOYSA-N
CHEMBL332794	LQEHCKYYIXQEBM-FUKIBTTHSA-N
CHEMBL4521594	CSJYMAFXYMYNCK-UHFFFAOYSA-N
CHEMBL4567838	ILHNIWOZZKIBNW-UHFFFAOYSA-N
CHEMBL4112929	FSWFYCYPTDLKON-CMJOXMDJSA-N
CHEMBL5095202	TVGAHWWPABTBCX-UHFFFAOYSA-N
CHEMBL4456123	PXQATVYJKMMHAU-UHFFFAOYSA-N
CHEMBL3640116	PCJVXTDIDUMIRR-QGZVFWFLSA-N
CHEMBL4637208	WZQLVEPIBAOOGF-RMMWZPCPSA-N
CHEMBL4635134	QZZCUOVXHPAQRQ-UHFFFAOYSA-N
