target_id	source_db	property	ordinal	value
224	Chemical Probes Portal	subClass	0	Melanocortin Receptor
225	Chemical Probes Portal	class	0	GPCR
225	Chemical Probes Portal	subClass	0	Chemokine Receptor
226	Chemical Probes Portal	class	0	GPCR
226	Chemical Probes Portal	subClass	0	Bombesin receptor
227	Chemical Probes Portal	class	0	GPCR
227	Chemical Probes Portal	subClass	0	Somatostatin Receptor
227	Chemical Probes Portal	subClass	1	Somatostatin receptor
228	Chemical Probes Portal	class	0	Kinase
228	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
229	Chemical Probes Portal	class	0	Other
229	Chemical Probes Portal	subClass	0	Epoxide Hydrolase 2
230	Chemical Probes Portal	class	0	GPCR
230	Chemical Probes Portal	subClass	0	Serotonin receptor
231	Chemical Probes Portal	class	0	GPCR
231	Chemical Probes Portal	subClass	0	Prostaglandin receptor
232	Chemical Probes Portal	class	0	GPCR
232	Chemical Probes Portal	subClass	0	Dopamine receptor
233	Chemical Probes Portal	class	0	Kinase
233	Chemical Probes Portal	subClass	0	Hexokinase
234	Chemical Probes Portal	class	0	Kinase
234	Chemical Probes Portal	subClass	0	TK
235	Chemical Probes Portal	class	0	Kinase
235	Chemical Probes Portal	subClass	0	Tyrosine kinase
236	Chemical Probes Portal	class	0	Kinase
236	Chemical Probes Portal	subClass	0	TK
236	Chemical Probes Portal	subClass	1	Tyrosine kinase
237	Chemical Probes Portal	class	0	Kinase
237	Chemical Probes Portal	subClass	0	STE
238	Chemical Probes Portal	class	0	Ion Channel
238	Chemical Probes Portal	subClass	0	Cys-Loop Receptor
239	Chemical Probes Portal	class	0	Epigenetic
239	Chemical Probes Portal	subClass	0	Nudix Hydrolase
240	Chemical Probes Portal	class	0	Kinase
240	Chemical Probes Portal	subClass	0	TK
241	Chemical Probes Portal	class	0	Kinase
241	Chemical Probes Portal	subClass	0	TKL
