inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
CTNPALGJUAXMMC-PMFHANACSA-N	SU14813	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	CHEMBL1721885	449255	unsuitables/su14813	2016-12-09	Yes	No	0	0	0		Chemical Probes Portal
KDKUVYLMPJIGKA-UHFFFAOYSA-N	JNJ-7706621	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		1799601	unsuitables/jnj-7706621	2016-12-09	No	No	0	0	0		Chemical Probes Portal
YYLKKYCXAOBSRM-JXMROGBWSA-N	KW-2449	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1		1708627	unsuitables/kw-2449	2016-12-09	No	No	0	0	0		Chemical Probes Portal
OWRXHGAFWZFFCW-UHFFFAOYSA-N	Kinome_1194	CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl	CHEMBL1993661	455055	unsuitables/kinome1194	2016-12-09	No	No	0	0	0		Chemical Probes Portal
JZTOUVBEZONDKA-UHFFFAOYSA-N	Kinome_2079	Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1		1720177	unsuitables/kinome2079	2016-12-09	No	No	0	0	0		Chemical Probes Portal
RYYNGWLOYLRZLK-UHFFFAOYSA-N	PF-03814735	CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12	CHEMBL1983111	593029	unsuitables/pf-03814735	2016-12-09	No	No	0	0	0		Chemical Probes Portal
FUMCKNCUEAQHCV-XYPYZODXSA-N	CHEMBL2062936	O[C@H]1CC[C@H](Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1		1543298	unsuitables/chembl2062936	2016-12-09	No	No	0	0	0		Chemical Probes Portal
ZGZVRPRSFXRGCF-UHFFFAOYSA-N	Kinome_1054	COc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)cc1OC	CHEMBL1991078	593085	unsuitables/kinome1054	2016-12-09	No	No	0	0	0		Chemical Probes Portal
ZPEIMTDSQAKGNT-UHFFFAOYSA-N	Chlorpromazine	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21		1233755	unsuitables/chlorpromazine	2016-12-09	No	No	0	0	0		Chemical Probes Portal
CGIGDMFJXJATDK-UHFFFAOYSA-N	Indometacin	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1		1616755	unsuitables/indometacin	2016-12-09	No	No	0	0	0		Chemical Probes Portal
