inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	Amiodarone	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	CHEMBL633	322374	unsuitables/amiodarone	2016-12-09	No	No	0	0	0		Chemical Probes Portal
MPVGZUGXCQEXTM-UHFFFAOYSA-N	Linifanib	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		1920436	unsuitables/linifanib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
QDPVYZNVVQQULH-UHFFFAOYSA-N	Dovitinib lactate	CC(O)C(=O)O.CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1.O	CHEMBL4297063	711445	unsuitables/dovitinib-lactate	2016-12-09	No	No	0	0	0		Chemical Probes Portal
RTIXKCRFFJGDFG-UHFFFAOYSA-N	5,7-Dihydroxyflavone	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12		1115786	unsuitables/57-dihydroxyflavone	2016-12-09	No	No	0	0	0		Chemical Probes Portal
QQWUGDVOUVUTOY-UHFFFAOYSA-N	NVP-TAE684	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	CHEMBL509032	868137	unsuitables/nvp-tae684	2016-12-09	No	No	0	0	0		Chemical Probes Portal
GUBJNPWVIUFSTR-UHFFFAOYSA-N	JNJ-28312141	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1	CHEMBL1908842	591760	unsuitables/jnj-28312141	2016-12-09	No	No	0	0	0		Chemical Probes Portal
WPHKIQPVPYJNAX-UHFFFAOYSA-N	Ilorasertib	Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12	CHEMBL1980297	644156	unsuitables/ilorasertib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
XZXHXSATPCNXJR-ZIADKAODSA-N	Intedanib	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1	CHEMBL502835	817948	unsuitables/intedanib	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
MZDKLVOWGIOKTN-UHFFFAOYSA-N	PF-562271	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O	CHEMBL1084546	631801	unsuitables/pf-562271	2016-12-09	No	No	0	0	0		Chemical Probes Portal
QQUXFYAWXPMDOE-UHFFFAOYSA-N	Kenpaullone	O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1		1185198	unsuitables/kenpaullone	2016-12-09	No	No	0	0	0		Chemical Probes Portal
SEJGTFPOEJWEGG-UHFFFAOYSA-N	CHEMBL1908393	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)NC5=CCC(F)C=C5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1		3100290	unsuitables/chembl1908393	2016-12-09	No	No	0	0	0		Chemical Probes Portal
JOOXLOJCABQBSG-UHFFFAOYSA-N	Fedratinib	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	CHEMBL1287853	729057	unsuitables/fedratinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
MVJMMLFMPWITEJ-UHFFFAOYSA-N	Kinome_1198	N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1		212832	unsuitables/kinome1198	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
