inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
RPMGXDCRCWWCRY-JTQLQIEISA-N	Other	250	mg/kg		25 mg/Kg, 250 mg/Kg	Chemical Probes Portal	BAY-707
RIJLVEAXPNLDTC-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/kg (IV); 5 mg/kg (oral)	Chemical Probes Portal	Filgotinib
RIJLVEAXPNLDTC-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/kg (IV); 5 mg/kg (oral)	Chemical Probes Portal	Filgotinib
HWGQMRYQVZSGDQ-HZPDHXFCSA-N	Mouse	1	mg/kg		1 mg/kg	Chemical Probes Portal	Talazoparib
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	5	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	0.5	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	5	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	CPI-1612
ZOPNBMMVVZRSGH-NRFANRHFSA-N	Other				0.8 (M), 0.5 (R) 0.5 (D) 0.5 (C) mg/Kg IV, 5 (M), 0.5 (R) 2 (D) 0.5 (C) mg/Kg PO	Chemical Probes Portal	AMG-837
BWYBBMQLUKXECQ-GIVPXCGWSA-N	Other	3	mg/kg		1-2 (IV), 2-4 (PO) mg/Kg, Reviewer Suggest 3-30 mg/Kg	Chemical Probes Portal	Relacatib
CVWXJKQAOSCOAB-UHFFFAOYSA-N	Mouse	10	mg/mL		10 mg/mL	Chemical Probes Portal	AC220
VRVJKILQRBSEAG-LFPIHBKWSA-N	Mouse	500	mg/kg		50, 100, 200, 500 mg/kg	Chemical Probes Portal	A-485
UQRCJCNVNUFYDX-UHFFFAOYSA-N	Mouse	50	mg/kg		50-200 mg/Kg	Chemical Probes Portal	Golvatinib
LWXLECMNBTVASW-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	GNE-049
LWXLECMNBTVASW-UHFFFAOYSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	GNE-049
AILRADAXUVEEIR-UHFFFAOYSA-N	Other	10	mg/kg		3, 10 mg/Kg	Chemical Probes Portal	Brigatinib
HUFOZJXAKZVRNJ-UHFFFAOYSA-N	Mouse	3	mg/kg		3-100 mg/Kg	Chemical Probes Portal	Rociletinib
GHVMTHKJUAOZJP-CGTJXYLNSA-N	Other	100	mg/kg		100 mg/Kg	Chemical Probes Portal	GI254023X
ZEGMEJVULDALSH-NSHDSACASA-N	Other				0.1, 1, 3 (IV) mg/Kg, 0.3, 3, 10 (PO) mg/Kg	Chemical Probes Portal	LYS006
SNCRCEGCQVMUBS-DNVCBOLYSA-N	Rat	10	mg/kg		10 mg/kg	Chemical Probes Portal	PF-4181366
ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	2	mg/kg		2 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	10	mg/kg		10 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	10	mg/kg		10 mg/Kg	Chemical Probes Portal	MAVATREP
ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	2	mg/kg		2 mg/Kg	Chemical Probes Portal	MAVATREP
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	0.5	mg/kg		0.5 mg/kg	Chemical Probes Portal	AM-6226
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	AM-6226
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	AM-6226
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	AM-6226
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	AM-6226
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	Chemical Probes Portal	AM-6226
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	AM-5262
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	AM-5262
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	AM-5262
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	2	mg/kg		2 mg/Kg	Chemical Probes Portal	AM-5262
