inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
ZJZCTCNQTXBBFZ-PLMZOXRSSA-N	unsuitables/mb-3	2017-03-07	No	Yes	3312903	0	0	0		Chemical Probes Portal	MB-3	https://www.chemicalprobes.org/
YGSDEFSMJLZEOE-UHFFFAOYSA-M	unsuitables/salicylate	2017-03-07	No	No	2880280	0	0	0		Chemical Probes Portal	Salicylate	https://www.chemicalprobes.org/
JAXSELKSZJMFSA-UHFFFAOYSA-N	unsuitables/apha	2017-03-07	No	No	3312911	0	0	0		Chemical Probes Portal	APHA	https://www.chemicalprobes.org/
PAWIYAYFNXQGAP-UHFFFAOYSA-N	unsuitables/quisinostat	2017-03-07	No	Yes	256735	0	0	0		Chemical Probes Portal	Quisinostat	https://www.chemicalprobes.org/
FPOHNWQLNRZRFC-ZHACJKMWSA-N	unsuitables/panobinostat	2017-03-07	Yes	Yes	1710013	0	0	0		Chemical Probes Portal	Panobinostat	https://www.chemicalprobes.org/
KGDMFBRXTHKRPA-GRCJMCHGSA-N	unsuitables/pandacostat	2017-03-07	Yes	Yes	1718170	0	0	0		Chemical Probes Portal	Pandacostat	https://www.chemicalprobes.org/
PTJGLFIIZFVFJV-UHFFFAOYSA-N	unsuitables/pyroxamide	2017-03-07	No	Yes	1123828	0	0	0		Chemical Probes Portal	Pyroxamide	https://www.chemicalprobes.org/
MUTBJZVSRNUIHA-UHFFFAOYSA-N	unsuitables/r306465	2017-03-07	No	Yes	169499	0	0	0		Chemical Probes Portal	R306465	https://www.chemicalprobes.org/
IDQPVOFTURLJPT-UHFFFAOYSA-N	unsuitables/sbha	2017-03-07	No	Yes	30287	0	0	0		Chemical Probes Portal	SBHA	https://www.chemicalprobes.org/
GYKLFBYWXZYSOW-UHFFFAOYSA-N	unsuitables/pivanex	2017-03-07	No	Yes	28056	0	0	0		Chemical Probes Portal	Pivanex	https://www.chemicalprobes.org/
MIGJEXKBUJPKJF-UHFFFAOYSA-N	unsuitables/ms7972	2017-04-04	No	No	1119325	0	0	0		Chemical Probes Portal	MS7972	https://www.chemicalprobes.org/
RFTSSZJZXOSICM-GRSHGNNSSA-N	unsuitables/obatoclax	2017-03-02	No	No	1500972	0	0	0		Chemical Probes Portal	Obatoclax	https://www.chemicalprobes.org/
