resource	xref	inchikey
canSAR	2933235	MPASHPJAIUOWCK-UHFFFAOYSA-N
canSAR	850277	JVCWPUFNLFSKFS-UHFFFAOYSA-N
canSAR	3313091	FYMVGXGSNIVSKY-NRFANRHFSA-N
canSAR	1246871	KLGQSVMIPOVQAX-UHFFFAOYSA-N
canSAR	475947	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N
canSAR	1780119	KHWCPNJRJCNVRI-UHFFFAOYSA-N
canSAR	861358	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
canSAR	661124	LVDRREOUMKACNJ-BKMJKUGQSA-N
canSAR	1336958	CXJCGSPAPOTTSF-VURMDHGXSA-N
canSAR	666346	TXEBNKKOLVBTFK-UHFFFAOYSA-N
canSAR	788110	CQCWHSDMJBAGDC-UHFFFAOYSA-N
canSAR	1880818	DSUZLJDXUJUTGI-LLVKDONJSA-N
canSAR	2968795	VWEDZTZAXHMZIL-UHFFFAOYSA-N
canSAR	431871	PKCDDUHJAFVJJB-VLZXCDOPSA-N
canSAR	982743	JGQPZPLJOBHHBK-UFXYQILXSA-N
canSAR	231616	XSMABFRQESMONQ-SFHVURJKSA-N
canSAR	522930	NGEBYTLALFOQKI-HDJSIYSDSA-N
canSAR	2870759	RENRQMCACQEWFC-UGKGYDQZSA-N
canSAR	2960889	JKCSCHXVWPSGBG-OPKPGBGESA-N
canSAR	527015	MPMKMQHJHDHPBE-RUZDIDTESA-N
canSAR	908112	HNLHOKSDTBAERS-CWIPYCOQSA-N
canSAR	138474	MXUSGDMIHGLCNC-HNNXBMFYSA-N
canSAR	3313066	LXRZVMYMQHNYJB-UNXOBOICSA-N
canSAR	1545950	TXZPMHLMPKIUGK-UHFFFAOYSA-N
canSAR	1819526	RUPXKSLKGSSZCP-UHFFFAOYSA-N
canSAR	1787649	ONBSHRSJOPSEGS-INIZCTEOSA-N
canSAR	872228	TVTXCJFHQKSQQM-LJQIRTBHSA-N
canSAR	842171	GBJVVSCPOBPEIT-UHFFFAOYSA-N
canSAR	2857979	GBAKVEWPYUIGHN-UHFFFAOYSA-N
canSAR	516940	NBOJHRYUGLRASX-UHFFFAOYSA-N
canSAR	832481	DJOVLOYCGXNVPI-UHFFFAOYSA-N
canSAR	2960864	WGJCHHJGGFCCRS-DEYDLUNASA-N
canSAR	2888018	QXCXMVYVUHVFLP-UHFFFAOYSA-N
canSAR	128444	KNOUWGGQMADIBV-KRWDZBQOSA-N
canSAR	3312897	LUHCYAOYQIFNRN-UHFFFAOYSA-N
canSAR	775664	IDKAKZRYYDCJDU-HBMMIIHUSA-N
canSAR	324605	SGIWFELWJPNFDH-UHFFFAOYSA-N
canSAR	764774	QADPYRIHXKWUSV-UHFFFAOYSA-N
canSAR	856218	YYDUWLSETXNJJT-MTJSOVHGSA-N
canSAR	2857978	BLNNXJOEJRKHAM-UHFFFAOYSA-N
canSAR	913014	ZMNWFTYYYCSSTF-SOAUALDESA-N
canSAR	851884	LXFOLMYKSYSZQS-XKHGBIBOSA-N
canSAR	945437	XQFINGFCBFHOPE-WXUXXXNLSA-N
canSAR	706267	CGWBJJZOKGZCSJ-UHFFFAOYSA-N
canSAR	3313067	AIOCFZJGGGEWDK-UHFFFAOYSA-N
canSAR	836733	RUBYHLPRZRMTJO-MOVYNIQHSA-N
canSAR	400351	RDALZZCKQFLGJP-UHFFFAOYSA-N
canSAR	524719	JBHLOPKIPKTRSU-UHFFFAOYSA-N
canSAR	1884403	LQSHXYHWYGKAMX-FQEVSTJZSA-N
canSAR	473103	AQTPWCUIYUOEMG-INIZCTEOSA-N
canSAR	2965041	JFGOILLZIAIYGA-UHFFFAOYSA-N
canSAR	1303476	RPMGXDCRCWWCRY-JTQLQIEISA-N
canSAR	244857	RIJLVEAXPNLDTC-UHFFFAOYSA-N
canSAR	115543	HWGQMRYQVZSGDQ-HZPDHXFCSA-N
canSAR	2897513	SEDFZSHSBUXKAC-NIYFSFCBSA-N
canSAR	428434	ZOPNBMMVVZRSGH-NRFANRHFSA-N
canSAR	757903	BWYBBMQLUKXECQ-GIVPXCGWSA-N
canSAR	819163	CVWXJKQAOSCOAB-UHFFFAOYSA-N
canSAR	790465	VRVJKILQRBSEAG-LFPIHBKWSA-N
canSAR	918750	UQRCJCNVNUFYDX-UHFFFAOYSA-N
canSAR	751163	LWXLECMNBTVASW-UHFFFAOYSA-N
canSAR	829699	AILRADAXUVEEIR-UHFFFAOYSA-N
canSAR	829698	HUFOZJXAKZVRNJ-UHFFFAOYSA-N
canSAR	1921859	GHVMTHKJUAOZJP-CGTJXYLNSA-N
canSAR	3317107	ZEGMEJVULDALSH-NSHDSACASA-N
canSAR	427078	SNCRCEGCQVMUBS-DNVCBOLYSA-N
canSAR	3455497	FNBUZGRPJLEIMO-UHFFFAOYSA-N
canSAR	338794	OBSYBRPAKCASQB-AGQYDFLVSA-N
canSAR	382027	ORDHXXHTBUZRCN-NTEUORMPSA-N
canSAR	790301	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N
canSAR	775938	XPLWBHWPOUEOSJ-GSZYCOFVSA-N
canSAR	1008841	YSVWFFNZZGLLAI-XNTOLAJGSA-N
canSAR	2956797	LPCWQWNRCGWRFC-UHFFFAOYSA-N
canSAR	672025	JYTIXGYXBIBOMN-UHFFFAOYSA-N
canSAR	858057	KLHOCHQJHXNKAS-UHFFFAOYSA-N
canSAR	266432	IFRGXKKQHBVPCQ-UHFFFAOYSA-N
canSAR	3144241	BKLJDIJJOOQUFG-UHFFFAOYSA-N
canSAR	2933236	FYQFEJFTCLKXTQ-UHFFFAOYSA-N
canSAR	228286	RRELDGDKULRRDM-UHFFFAOYSA-N
canSAR	3183744	IYHHRZBKXXKDDY-UHFFFAOYSA-N
canSAR	3196192	DYUTWRFEEOPXMN-UHFFFAOYSA-N
canSAR	2905509	AUYCSWFYKYVCLD-HXUWFJFHSA-N
canSAR	711502	OEDSFMUSNZDJFD-UHFFFAOYSA-N
canSAR	1645687	QMHRLXNEGYTSRV-UHFFFAOYSA-N
canSAR	841256	LQEHCKYYIXQEBM-FUKIBTTHSA-N
