inchikey	property	ordinal	value	source_db	source
BNYXRPMABDQJJR-UHFFFAOYSA-N	control_compound	0	SGC-STK17B-1N	Chemical Probes Portal	
UCBIQZUJJSVQHL-UHFFFAOYSA-N	control_compound	0	CANSAR3153834	Chemical Probes Portal	
WBFJDKLBAAHKIL-UHFFFAOYSA-N	control_compound	0	CANSAR3550540	Chemical Probes Portal	
DVIVLYHDLNAXAT-OAQYLSRUSA-N	control_compound	0	BAY-0361	Chemical Probes Portal	
HZRJHVDNTDBTOZ-QGZVFWFLSA-N	control_compound	0	BAY-440	Chemical Probes Portal	
KLGDKBPAEMOECW-UHFFFAOYSA-N	control_compound	0	DKFZ-829	Chemical Probes Portal	
HLHNFJNSQZZUNW-MAEOIBBWSA-N	control_compound	0	CANSAR3550545	Chemical Probes Portal	
AUIFRJWXYUNPPV-QFIPXVFZSA-N	control_compound	0	BI 3047	Chemical Probes Portal	
KHVVJKLNKLQLJZ-SFHVURJKSA-N	control_compound	0	TP-030n	Chemical Probes Portal	
VGFHPNRWHOQLEB-UHFFFAOYSA-N	control_compound	0	SGC-PI5P4Kγ/MYLK4-1N	Chemical Probes Portal	
VUIITYLFSAXKIQ-UHFFFAOYSA-N	control_compound	0	N-((2-(1-(2-methoxyethyl)piperidin-4-yl)pyridin-4-yl)methyl)-N-methyl-3-phenoxybenzamide	Chemical Probes Portal	
KTACUAZSJJIUKD-QXONSOMPSA-N	control_compound	0	MR7	Chemical Probes Portal	
IEFFSHLHNYVSEF-UHFFFAOYSA-N	control_compound	0	T3-CLK-N	Chemical Probes Portal	
LVEUPFUJRKZPEN-UHFFFAOYSA-N	control_compound	0	Al11	Chemical Probes Portal	
YCFFONJEHNSECY-UHFFFAOYSA-N	control_compound	0	CANSAR3550543	Chemical Probes Portal	
WGMNFJAFXXXRLZ-GEVKEYJPSA-N	control_compound	0	SR-301	Chemical Probes Portal	
HEVVNKYNJCSHFA-UHFFFAOYSA-N	control_compound	0	SGC-CK2-2N	Chemical Probes Portal	
QPGYAMIHXLCFTJ-UHFFFAOYSA-N	control_compound	0	D5	Chemical Probes Portal	
HKROEBDHHKMNBZ-CHBKHGQFSA-N	control_compound	0	A-226	Chemical Probes Portal	
PTAMRJLIOCHJMQ-PYNGZGNASA-N	control_compound	0	cisMZ1	Chemical Probes Portal	
JGPJQFOROWSRRS-UHFFFAOYSA-N	control_compound	0	BEPAFANT	Chemical Probes Portal	
GPXQUPCJIJBXHJ-UHFFFAOYSA-N	control_compound	0	CANSAR3935388	Chemical Probes Portal	
VLYNCWZASZUTNV-FCQUAONHSA-N	control_compound	0	BI-4481	Chemical Probes Portal	
XKDHFIPNTTUSIA-UHFFFAOYSA-N	control_compound	0	BI-0955	Chemical Probes Portal	
UCJZOKGUEJUNIO-IINYFYTJSA-N	control_compound	0	CANSAR3148275	Chemical Probes Portal	
JQLMEZBHIJSVKR-UHFFFAOYSA-N	control_compound	0	JA314	Chemical Probes Portal	
YLHSFRZHEMHKAF-UHFFFAOYSA-N	control_compound	0	CANSAR3935392	Chemical Probes Portal	
DORZPJWJOBMQKC-UHFFFAOYSA-N	control_compound	0	SGC-PICFYVE-NC	Chemical Probes Portal	
NDEORODKVUYMFQ-NHCUHLMSSA-N	control_compound	0	GSK791	Chemical Probes Portal	
IIKPYJZUOZRTIB-UHFFFAOYSA-N	control_compound	0	SGC-CDKL2/AAK1/BMP2K-1N	Chemical Probes Portal	
HEAGNKNMQVIVMM-UHFFFAOYSA-N	control_compound	0	MU140	Chemical Probes Portal	
JNAABFZPXJJMPX-UHFFFAOYSA-N	control_compound	0	IPP/CNRS-A019	Chemical Probes Portal	
JWZAQUXBYYOGFA-UHFFFAOYSA-N	control_compound	0	BI-9930	Chemical Probes Portal	
RTFQFPZKDYMMMJ-RIAKQDHQSA-N	control_compound	0	cisSGK3-PROTAC	Chemical Probes Portal	
YJOJMGTVKMABKQ-FIQOPJFZSA-N	control_compound	0	BSJ-4-116-NC	Chemical Probes Portal	
QUQTXFIMYFMULC-OGOZKGDESA-N	control_compound	0	eTRIM24	Chemical Probes Portal	
PACRWHUPEPCFHX-UHFFFAOYSA-N	control_compound	0	CP-23	Chemical Probes Portal	
ZUODKONSNNHSAJ-AMLBMYBGSA-N	control_compound	0	CANSAR3575573	Chemical Probes Portal	
