target_key	source_db	property	ordinal	value
P20701	Chemical Probes Portal	class	0	Integrin
P21452	Chemical Probes Portal	class	0	GPCR
P21452	Chemical Probes Portal	subClass	0	Tachykinin receptor
P21453	Chemical Probes Portal	class	0	GPCR
P21453	Chemical Probes Portal	subClass	0	Sphingosine receptor
P21554	Chemical Probes Portal	class	0	GPCR
P21554	Chemical Probes Portal	subClass	0	Cannabinoid Receptor
P21554	Chemical Probes Portal	subClass	1	Cannabinoid receptor
P21589	Chemical Probes Portal	class	0	Other
P21589	Chemical Probes Portal	subClass	0	Membrane Protein
P21675	Chemical Probes Portal	class	0	Epigenetic
P21675	Chemical Probes Portal	subClass	0	Bromodomain
P21730	Chemical Probes Portal	class	0	GPCR
P21730	Chemical Probes Portal	subClass	0	Complement peptide receptor
P21802	Chemical Probes Portal	class	0	Kinase
P21802	Chemical Probes Portal	subClass	0	TK
P21802	Chemical Probes Portal	subClass	1	Tyrosine Kinase
P21860	Chemical Probes Portal	class	0	Protein kinase
P21860	Chemical Probes Portal	subClass	0	RTK
P21917	Chemical Probes Portal	class	0	GPCR
P21917	Chemical Probes Portal	subClass	0	Dopamine receptor
P21917	Chemical Probes Portal	subClass	1	Dopamine D4 receptors
P22314	Chemical Probes Portal	class	0	Other post-translational modification
P22314	Chemical Probes Portal	class	1	Enzyme
P22314	Chemical Probes Portal	subClass	0	Ubiquitin-conjugating enzyme
P22413	Chemical Probes Portal	class	0	Enzyme
P22413	Chemical Probes Portal	subClass	0	phosphodiesterase
P22455	Chemical Probes Portal	class	0	Protein kinase
P22455	Chemical Probes Portal	class	1	Kinase
P22455	Chemical Probes Portal	subClass	0	TK
P22455	Chemical Probes Portal	subClass	1	Tyrosine kinase
P22455	Chemical Probes Portal	subClass	2	Tyrosine Kinase
P22607	Chemical Probes Portal	class	0	Kinase
P22607	Chemical Probes Portal	subClass	0	TK
P22607	Chemical Probes Portal	subClass	1	Tyrosine Kinase
P22888	Chemical Probes Portal	class	0	GPCR
P22888	Chemical Probes Portal	subClass	0	Luteinizing hormone receptor
P22888	Chemical Probes Portal	subClass	1	Hormone Receptor
P23219	Chemical Probes Portal	class	0	Enzyme
P23219	Chemical Probes Portal	subClass	0	Synthase
P23458	Chemical Probes Portal	class	0	Kinase
P23458	Chemical Probes Portal	subClass	0	TK
P23458	Chemical Probes Portal	subClass	1	Tyrosine kinase
P23743	Chemical Probes Portal	class	0	Kinase
P23743	Chemical Probes Portal	subClass	0	Lipid kinase
P23946	Chemical Probes Portal	class	0	Enzyme
P23946	Chemical Probes Portal	subClass	0	Peptidase
P24530	Chemical Probes Portal	class	0	GPCR
P24530	Chemical Probes Portal	subClass	0	Endothelin Receptor
P24941	Chemical Probes Portal	class	0	Kinase
P24941	Chemical Probes Portal	subClass	0	CMGC
P25090	Chemical Probes Portal	class	0	GPCR
P25090	Chemical Probes Portal	subClass	0	Formyl peptide receptor
P25098	Chemical Probes Portal	class	0	Kinase
P25098	Chemical Probes Portal	subClass	0	AGC
P25100	Chemical Probes Portal	class	0	GPCR
P25100	Chemical Probes Portal	subClass	0	Alpha-Adrenergic Receptor
P25101	Chemical Probes Portal	class	0	GPCR
P25101	Chemical Probes Portal	subClass	0	Endothelin Receptor
P25103	Chemical Probes Portal	class	0	GPCR
P25103	Chemical Probes Portal	subClass	0	NK-1 Receptor
P25105	Chemical Probes Portal	class	0	GPCR
P25105	Chemical Probes Portal	subClass	0	Platelet-activating factor receptor
P25116	Chemical Probes Portal	class	0	GPCR
P25116	Chemical Probes Portal	subClass	0	Trombin Receptor
