inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
IFRGXKKQHBVPCQ-UHFFFAOYSA-N	Mouse	2	mg/kg		2-60 mg/Kg	Chemical Probes Portal	
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	Chemical Probes Portal	
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.1	mg/kg		0.1 mg/Kg	Chemical Probes Portal	
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.2	mg/kg		0.2 mg/Kg	Chemical Probes Portal	
FYQFEJFTCLKXTQ-UHFFFAOYSA-N	Mouse	60	mg/kg/day		30, 60 mg/Kg/day	Chemical Probes Portal	
RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	0.1	mg/kg	IV	0.1 mg/kg IV, 1 mg/kg PO	Chemical Probes Portal	
RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	1	mg/kg	PO	0.1 mg/kg IV, 1 mg/kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.2	mg/kg		0.2 mg/Kg	Chemical Probes Portal	
DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	Chemical Probes Portal	
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	
