inchikey	source_db	property	ordinal	value
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	1113023
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/vorinostat
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	rating_in_cell	0	0
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	rating_in_organism	0	0
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	rating_count	0	0
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	unsuitable	0	Yes
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	pains	0	No
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	toxicophore	0	No
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	published_date	0	2016-12-09
WINHZLLDWRZWRT-ATVHPVEESA-N	Chemical Probes Portal	canSAR_ID	0	154683
