inchikey	smiles	chembl_id	name
AUGQEEXBDZWUJY-NMAPUUFXSA-N	CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2	CHEMBL433680	
AUJDLGWTNPBCBU-UHFFFAOYSA-N	Cc1sc2ncnc(Nc3cccc(C(=O)O)c3)c2c1-c1ccccc1	CHEMBL3792965	
AUMDBEHGJRZSOO-UHFFFAOYSA-N	Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1	CHEMBL2069623	
AURFZBICLPNKBZ-FZCSVUEKSA-N	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	CHEMBL2057301	
AURFZBICLPNKBZ-YZRLXODZSA-N	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	CHEMBL210952	
AUVVAXYIELKVAI-CKBKHPSWSA-N	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21	CHEMBL1255782	
AUWUGRCKTQSGJY-UHFFFAOYSA-N	N#Cc1ccc(OCCCN2CCC(C(N)(c3ccccc3)C3CCCC3)CC2)cc1	CHEMBL3126196	
AUYCMBNKWPTFOQ-UHFFFAOYSA-N	Nc1ccc(Br)c2c1CN(C1CCC(=O)NC1=O)C2=O		
AUYYCJSJGJYCDS-GFCCVEGCSA-N	N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	CHEMBL557	
AUYYCJSJGJYCDS-LBPRGKRZSA-N	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	CHEMBL1544	
AVHFGSYJGSZHIC-UHFFFAOYSA-N	O=C(Nc1cc(C(F)F)ns1)Nc1cc(Cl)ncc1CO		
AVNQVPDWFUNVON-MEMLXQNLSA-N	CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1		
AVXQPEKZIGPIJW-UHFFFAOYSA-N	CC(C)c1ccc(Cn2ccc3c4c(N)nc(NC5CC5)nc4ccc32)cc1	CHEMBL63426	
AWDORCFLUJZUQS-ZDUSSCGKSA-N	Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12	CHEMBL406821	
AWFDTQKILWJQCK-UHFFFAOYSA-N	Cn1c(-c2cccs2)c(Cl)c2cc(C#N)c(C#N)cc21	CHEMBL3398524	
AWHNHDGHHNGACT-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1	CHEMBL7828	
AWIVHRPYFSSVOG-UHFFFAOYSA-N	Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1	CHEMBL2391504	
AWOPBSAJHCUSAS-UHFFFAOYSA-N	CN(C)C(=O)Nc1cccc(-c2ccc(N(C)C)cc2)c1	CHEMBL3823931	
AWUGZGWYVVYYIP-ZDUSSCGKSA-N	Cc1cn2cc(-c3cc4ccc(N5CCN[C@@H](C)C5)cc4oc3=O)nc2c(C)n1		
AXKPFOAXAHJUAG-UHFFFAOYSA-N	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1	CHEMBL2361301	
AXRCEOKUDYDWLF-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	CHEMBL2107337	
AXUZQJFHDNNPFG-UXBLZVDNSA-N	CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1	CHEMBL15177	
AXWHXYMUDZXGAP-IYARVYRRSA-N	O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4nc5ccccc5o4)cn3)cc2)CC1		
